Year,Wave,Fishing Mode,Fishing Area,Species Group,Sub Group,Observed Harvest (A),PSE,Reported Harvest (B1),PSE,Released Alive (B2),PSE,Total,Angler Trips,AngPSE
2010,MAY/JUNE,PARTY BOAT,OCEAN (> 3 MI),WRASSES,TAUTOG,10407,8.6,0,.,32655,8.6,43062,3939,8.6
2010,MAY/JUNE,PARTY BOAT,INLAND,BLUEFISH,BLUEFISH,628,44.7,59,95.6,20,103.6,707,4513,8.5
2010,MAY/JUNE,PARTY BOAT,INLAND,CARTILAGINOUS FISHES,SKATES/RAYS,0,.,0,.,26,101.1,26,4513,8.5
2010,MAY/JUNE,PARTY BOAT,INLAND,DRUMS,ATLANTIC CROAKER,24907,50.7,1235,95.3,1161,55.4,27303,4513,8.5
2010,MAY/JUNE,PARTY BOAT,INLAND,DRUMS,SPOT,133,106.2,0,.,0,.,133,4513,8.5
2010,MAY/JUNE,PARTY BOAT,INLAND,FLOUNDERS,SUMMER FLOUNDER,371,25.1,0,.,7986,33,8357,4513,8.5
2010,MAY/JUNE,PARTY BOAT,INLAND,SEA BASSES,BLACK SEA BASS,0,.,0,.,21,101.5,21,4513,8.5
2010,MAY/JUNE,PARTY BOAT,INLAND,SEAROBINS,SEAROBINS,0,.,0,.,9,101.5,9,4513,8.5
2010,MAY/JUNE,PARTY BOAT,INLAND,TEMPERATE BASSES,STRIPED BASS,72,105.6,0,.,72,105.6,144,4513,8.5
2010,MAY/JUNE,CHARTER BOAT,OCEAN (> 3 MI),CARTILAGINOUS FISHES,OTHER SHARKS,107,57.7,0,.,237,63.5,344,809,34.7
2010,MAY/JUNE,CHARTER BOAT,OCEAN (> 3 MI),DOLPHINS,DOLPHINS,144,75.2,0,.,0,.,144,809,34.7
2010,MAY/JUNE,CHARTER BOAT,OCEAN (> 3 MI),OTHER FISHES,OTHER FISHES,42,94.6,0,.,0,.,42,809,34.7
2010,MAY/JUNE,CHARTER BOAT,INLAND,BLUEFISH,BLUEFISH,0,.,95,105.8,461,61.1,556,31593,20.5
2010,MAY/JUNE,CHARTER BOAT,INLAND,CARTILAGINOUS FISHES,SKATES/RAYS,0,.,0,.,1213,97.4,1213,31593,20.5
2010,MAY/JUNE,CHARTER BOAT,INLAND,DRUMS,ATLANTIC CROAKER,175435,66.8,137213,95.4,87281,56.5,399929,31593,20.5
2010,MAY/JUNE,CHARTER BOAT,INLAND,DRUMS,SPOT,6994,76.8,1840,102.6,7006,55.2,15840,31593,20.5
2010,MAY/JUNE,CHARTER BOAT,INLAND,FLOUNDERS,SUMMER FLOUNDER,0,.,0,.,6243,70.3,6243,31593,20.5
